,plant_name,scan_nb,image_nb,voxel_size,session,pathname
154,6-qi-08,flushed,781,0.00700683,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Qi_08/slice00781.tif
155,6-qi-12,flushed,767,0.00450007,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Qi_12_dry/slice00767.tif
156,6-qp-07,flushed,797,0.0036732,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Qp_07/slice00797.tif
157,6-qp-09,flushed,783,0.00419966,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Qp_09/slice00783.tif
158,6-qp-10,flushed,801,0.00388899,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/6_Qp_10/slice00801.tif
159,6-qp-12,flushed,773,0.00388897,Session1,/Volumes/PERL/invites/Session1/Flushed_samples/Analyzed/6_Qp_12/slice00773.tif
160,1-fs-13,living,789,0.007769499999999999,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-fs-13/slice00789.tif
161,1-fs-14,living,799,0.00696455,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-fs-14/slice00799.tif
162,1-fs-15,living,787,0.00657391,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-fs-15/slice00787.tif
163,1-fs-16,living,801,0.00690208,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-fs-16/slice00801.tif
164,1-fs-17,living,792,0.00696435,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-fs-17/slice00792.tif
165,1-fs-18,living,859,0.00657458,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-fs-18/slice00859.tif
166,1-qi-14,living,796,0.00578688,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qi-14/slice00796.tif
167,1-qi-15,living,774,0.00641768,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qi-15/slice00774.tif
168,1-qi-16,living,792,0.00691645,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qi-16/slice00792.tif
169,1-qi-18,living,773,0.00613521,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qi-18/slice00773.tif
170,1-qp-13,living,839,0.00756472,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qp-13/slice00839.tif
171,1-qp-14,living,794,0.00648783,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qp-14/slice00794.tif
172,1-qp-15,living,850,0.00719925,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qp-15/slice00850.tif
173,1-qp-16,living,967,0.00696371,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qp-16/slice00967.tif
174,1-qp-17,living,799,0.00665112,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qp-17/slice00799.tif
175,1-qp-18,living,798,0.00658738,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/1-qp-18/slice00798.tif
176,2-fs-13,living,768,0.00719982,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-fs-13/slice00768.tif
177,2-fs-14,living,1109,0.00705873,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-fs-14/slice01109.tif
178,2-fs-16,living,795,0.00657443,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-fs-16/slice00795.tif
179,2-fs-17,living,753,0.00705873,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-fs-17/slice00753.tif
180,2-fs-18,living,798,0.00657405,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-fs-18/slice00798.tif
181,2-qi-14,living,746,0.00648871,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qi-14/slice00746.tif
182,2-qi-15,living,794,0.00691665,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qi-15/slice00794.tif
183,2-qi-16,living,724,0.006915,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qi-16/slice00724.tif
184,2-qi-18,living,772,0.00600018,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qi-18/slice00772.tif
185,2-qp-13,living,797,0.00690114,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qp-13/slice00797.tif
186,2-qp-14,living,966,0.00623252,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qp-14/slice00966.tif
187,2-qp-15,living,795,0.00657383,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qp-15/slice00795.tif
188,2-qp-16,living,799,0.00658699,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qp-16/slice00799.tif
189,2-qp-17,living,871,0.00799483,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qp-17/slice00871.tif
190,2-qp-18,living,991,0.00696277,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/2-qp-18/slice00991.tif
191,3-fs-13,living,785,0.00627555,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-fs-13/slice00785.tif
192,3-fs-14,living,776,0.00660474,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-fs-14/slice00776.tif
193,3-fs-15,living,793,0.00619246,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-fs-15/slice00793.tif
194,3-fs-16,living,800,0.00649635,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-fs-16/slice00800.tif
195,3-fs-17,living,791,0.00605496,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-fs-17/slice00791.tif
196,3-fs-18,living,795,0.00642609,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-fs-18/slice00795.tif
197,3-qi-13,living,788,0.00575805,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-qi-13/slice00788.tif
198,3-qi-14,living,770,0.00575749,Session2,/Volumes/PERL/invites/Session2/Living_Plants/Analyzed/3-qi-14/slice00770.tif
