plant_name,chamber,species,rep,scan_nb,roi_surf,eq_diam_roi,air_surf,emb_vess_nb,mean_diam,std_diam,pourc_emb,coeff,coeff_diam,PLA,PLA_diam,ratio_l_f,image_nb,diam_roi,max_embolism,voxel_size,Q,used,comment
4-qp-18,4,qp,18,1,28.0605,5.97727,0.1107780279,177,0.02507793231638418,0.012997192863344427,0.3947828010905009,1.1926580158706546,1.0691520784772117,13.497331600599404,15.056511651033826,16.09770072631917,777,860,23500,0.00696432,1.5,1,
5-fs-13,5,fs,13,1,22.0881,5.30316,1.0208626318,2218,0.020252745383228132,0.013263870142772942,4.621776575622167,1.2837738875714884,0.7594587654272192,43.32524213179953,73.23612163489672,55.61981452151632,799,NA,26000,0.00606355,2.5,1,
5-fs-14,5,fs,14,1,20.2937,5.08318,0.6314762459,1335,0.022030074329588013,0.010817860871529783,3.111686118844764,1.0406918903395863,0.9141516840109257,43.20079032604259,49.18080110219,44.95871214857338,800,740,27000,0.00697522,2.5,1,
5-fs-15,5,fs,15,1,31.708,6.35389,0.9070882655,2064,0.021379331875,0.010126117045893633,2.8607552210798537,1.0098571587814704,0.9519048125706545,43.734940991279665,46.39754171392085,44.16604324892895,740,860,27000,0.0074935,2.5,1,
5-fs-16,5,fs,16,1,22.2773,5.32582,0.3907285264,1020,0.020909652705882353,0.0071113741435825505,1.7539312501963882,1.1099081773477553,1.4598054331516837,32.46402261724957,24.68279905952631,36.03208417248777,798,NA,22800,0.00705824,1,1,
5-fs-17,5,fs,17,1,13.317,4.11773,0.619718454,1303,0.020990503699155793,0.012848707279711453,4.653589051588196,1.042500058712551,1.3442624016261928,63.64330356088081,49.35654498602036,66.34814769887895,1011,NA,25000,0.00607572,2.5,1,
5-fs-18,5,fs,18,1,28.1563,5.98746,2.5813867621,4467,0.025125165748824715,0.010223912842163107,9.168061009791769,0.9713423258702178,1.0327074976131503,97.31920314120963,91.5363366195193,94.53026113101876,798,970,23000,0.00644968,1,1,
5-qi-13,5,qi,13,1,17.2164,4.68195,0.0784927341,212,0.020330340471698113,0.007639881453426685,0.4559183923468321,0.9877736022261109,0.8164641445823735,14.00595535325209,16.94466690754245,13.834712971899899,800,NA,23500,0.00644954,1.5,1,
5-qi-14,5,qi,14,1,13.8497,4.19928,0.054947609700000004,127,0.02155640338582677,0.009321138812683748,0.39674223773800155,1.0310282961981405,1.2604316540847098,10.309422444943216,8.433068325244003,10.629306258196673,799,620,23500,0.00678663,1.5,1,
5-qi-15,5,qi,15,1,6.32463,2.83774,0.0237695931,114,0.015039195701754385,0.006296617252402941,0.37582582854649205,1.0346602843887214,0.766608212232577,15.899303607354927,21.458650885124726,16.450377991968473,798,490,22800,0.00580241,1.5,1,
5-qi-16,5,qi,16,1,6.06268,2.77835,0.0161557267,89,0.013731900561797752,0.0065607502258848835,0.2664783016751668,1.0324270383123364,0.8031730181577518,14.741221740072342,18.94888841898209,15.219235902208313,795,440,24000,0.00632372,2,1,
5-qi-17,5,qi,17,1,4.99292,2.52134,0.0136946703,65,0.014231761230769231,0.008169387491622595,0.27428178901324274,1.0648586741625272,0.9813553892704526,7.80031025332386,8.464036703956687,8.306228034410813,798,450,23500,0.00561088,2,1,
5-qi-18,5,qi,18,1,10.7518,3.69995,0.0403809866,200,0.0131655465,0.00917402294397998,0.3755741978087391,1.0494987652151844,0.6515741843129541,14.543086899927461,23.424733685520184,15.262951743890994,792,670,25000,0.00553307,2.5,1,
5-qp-13,5,qp,13,1,16.6316,4.60174,0.6028450035,1237,0.01809639215844786,0.01712495108099693,3.6246963821881244,0.9840717599166903,0.8123481885803778,61.566982566552824,74.5817246086382,60.586328887027825,799,NA,25000,0.00567358,2.5,1,
5-qp-15,5,qp,15,1,12.8984,4.0525,0.2177367429,363,0.02179611831955923,0.01701318083031634,1.6880911035477268,0.9895736633344331,0.9769080171647977,69.24283682665937,70.14057259667949,68.5208876982257,800,NA,24000,0.00607491,1.5,1,
5-qp-16,5,qp,16,1,18.9229,4.9085,0.3774519708,424,0.028523251273584904,0.017906413934275344,1.9946835358216766,0.982517809300297,1.154165584262774,37.46482287629226,31.89304567745425,36.80985569823832,797,NA,26000,0.00644958,2,1,
5-qp-17,5,qp,17,1,21.9168,5.28256,0.168099692,409,0.01994120914425428,0.011223176335733399,0.7669901262958096,1.1227638777893896,0.7520278511435181,17.64309253935217,26.34081565670592,19.809026995680092,756,860,22800,0.00616628,2.5,1,
5-qp-18,5,qp,18,1,17.1007,4.66618,0.069426697,183,0.019361806885245903,0.010428682886026648,0.4059874566538212,1.0131886883002235,1.5202447811578192,11.626871384253727,7.748893278801864,11.780214566847437,805,NA,23500,0.00639809,1.5,1,
6-fs-13,6,fs,13,1,24.7375,5.61219,0.2404954794,852,0.01736535470657277,0.007609970559105096,0.9721899116725617,1.0524401295049117,1.0874038180346064,34.76701652029,33.64914005474729,36.59020336911341,801,NA,26000,0.00688188,1.5,1,
6-fs-14,6,fs,14,1,24.3316,5.56596,2.0485925640000002,4177,0.02318492153938233,0.00932390241088442,8.419473293988066,1.0552575084029059,1.0047852102400978,74.26315306504056,77.99353441003798,78.36674986955832,799,800,23000,0.00724465,1.5,1,
6-fs-15,6,fs,15,1,34.0622,6.58554,2.8310077667,6159,0.021444884851436922,0.011197602240939668,8.311288662212071,1.088064960246348,0.9596160862472914,61.74851144778337,70.0138238787191,67.18639165370358,794,NA,25000,0.0062621,2,1,
6-fs-16,6,fs,16,1,32.1922,6.40221,0.8570035085,2179,0.020352929288664525,0.00930402789214187,2.662146446965414,1.1217380699339687,0.758043646270688,28.513927413644822,42.194348650734185,31.985157903219225,760,880,25000,0.0073716,2,1,
6-fs-17,6,fs,17,1,25.0109,5.64312,0.9756162939999999,3444,0.015701154474448316,0.010685973029105223,3.9007644427029815,1.030497678270507,0.688557425218695,40.68884085099938,60.895074968010945,41.92975602847302,793,950,25500,0.00605504,2.5,1,Maybe better to put at 3...
6-fs-18,6,fs,18,1,37.2575,6.8875,2.276017372,3641,0.02676128429003021,0.00893125021179079,6.108883773736832,0.9690335803329684,1.0744222429064272,92.59113178630611,83.50898963079275,89.72391594196591,1415,1100,23000,0.00645004,1,1,
6-qi-13,6,qi,13,1,5.43773,2.63126,0.0534798101,125,0.0218342712,0.008279738945052087,0.9834951367574337,1.0102253705860824,1.1189923568507192,28.552217820258935,25.776918539197517,28.844174828525627,775,430,22500,0.00614993,1,1,
6-qi-14,6,qi,14,1,11.1193,3.76265,0.020587402,106,0.014777166603773585,0.005403714591900453,0.18515016233036252,0.9893143762122534,0.8602512794407451,10.903584498515492,12.539444176867946,10.787072896626452,740,NA,23500,0.00632262,1.5,1,
6-qi-15,6,qi,15,1,16.2188,4.54428,0.1143121554,237,0.0225321111814346,0.010338092414106043,0.7048126581498014,0.9895485689532096,1.3993059603022548,29.372094859709488,20.77109314199254,29.06511443558345,795,720,23000,0.00633432,1,1,looks nice !!
6-qi-16,6,qi,16,1,7.58291,3.10723,0.088153502,245,0.01981170685714286,0.008117251943926429,1.1625286598416702,1.0019767572460179,1.097337930582074,46.09729702552699,42.09133659213234,46.18842019144404,1025,460,23500,0.00679365,1.5,1,
6-qi-17,6,qi,17,1,7.46222,3.0824,0.0636019944,132,0.02300941946969697,0.009203144714920545,0.8523200120071507,1.0449561557053597,1.0871566172617335,31.803782546447508,30.569246251135137,33.233558346625,751,430,23000,0.00719968,1.5,1,
6-qi-18,6,qi,18,1,6.51333,2.87976,0.0047059668,34,0.011749069705882353,0.00627270002022496,0.07225131845000946,1.0607994762232045,1.9137427992324876,2.459391328527101,1.3632558325892883,2.60892103312944,786,460,25000,0.0062623,2,1,
6-qp-13,6,qp,13,1,15.3255,4.41735,0.2456434232,558,0.01974514082437276,0.013074498804359111,1.6028411679879937,1.0738685333501503,0.7517144031926648,29.43815397277585,42.05414595891194,31.6127072312807,799,NA,24000,0.00567364,1.5,1,
6-qp-16,6,qp,16,1,16.6514,4.60448,0.1629726213,310,0.021369826193548387,0.014607672067188444,0.9787322465378288,1.1024788792076061,1.614717021228712,27.073510950136836,18.48495656892811,29.84797400852171,800,NA,25500,0.00609222,2.5,1,
6-qp-18,6,qp,18,1,9.13602,3.41062,0.3849230029,518,0.026509272567567566,0.015616238704962697,4.213246062289706,1.069095530310477,1.3982036668220599,49.632476037467065,37.95002083673602,53.06185828989789,795,500,23000,0.006964,1,1,
1-fs-13,1,fs,13,2,31.3864,6.32158,3.506430778,5011,0.027637308199960086,0.011276071996964803,11.17181574822216,1.0893189406876864,0.8344506567692579,22.83355846061875,29.80766749079264,24.873027714451577,1336,800,23500,0.00416598,1.5,1,
1-fs-14,1,fs,14,2,19.5594,4.99038,1.3154076648,2252,0.02603666624777975,0.008113473207832195,6.7251943556550815,1.0603494994733988,0.9626472756363514,40.28076450153784,44.36899117527469,42.711688477611496,799,830,23200,0.00621188,1,1,
1-fs-15,1,fs,15,2,32.9575,6.47787,3.0386841934,5360,0.025210061485074625,0.009289356088977338,9.220008172343167,1.029689751953273,0.9469326157182995,43.960728405949894,47.80267442121119,45.265911528007756,793,NA,23500,0.00432393,1,1,
1-fs-16,1,fs,16,2,16.521,4.58642,0.99884949,2581,0.02051209425803952,0.008486857565221053,6.045938441982931,1.1031232976212093,0.8840355605603372,20.285881336665494,25.313267150781833,22.377828315254984,794,NA,23000,0.00416539,1,1,
1-fs-17,1,fs,17,2,23.2747,5.44374,1.8747559931,3633,0.023769070393614092,0.009596500336690413,8.054909378423782,1.1449857570666861,0.9182862375766706,40.68719918567725,50.73174534933187,46.58626356253572,790,NA,23000,0.0048697,1,1,
1-fs-18,1,fs,18,2,30.067,6.18728,1.631543612,3636,0.022530030599559957,0.007983900492907276,5.42635983636545,1.0259719958758773,0.7904236163236468,26.2203801098085,34.03412443444674,26.90137571388438,788,NA,23000,0.00560778,1,1,
1-qi-14,1,qi,14,2,6.0199,2.76853,0.1961437216,704,0.01626960950284091,0.00949575057326038,3.258255479326899,1.0856509244339607,1.0387058023828155,18.22669884861961,19.050468774690135,19.787832454383288,795,730,22800,0.00385391,1,1,
1-qi-15,1,qi,15,2,10.8909,3.72381,0.5411898892,944,0.02272887037076271,0.014613880833908756,4.969193447740775,1.0644023909869706,0.813840218107375,8.844440463539813,11.567434696489325,9.414043576333688,800,990,22800,0.00385398,1,1,
1-qi-16,1,qi,16,2,7.56891,3.10436,0.2983164699,781,0.018717584827144685,0.011668865498698153,3.9413399009897065,0.9961883547300735,1.1348664813366438,22.72910309869545,19.95165791989149,22.642467820379636,1525,820,23500,0.00385392,1.5,1,
1-qi-18,1,qi,18,2,6.84112,2.95134,0.2559632425,612,0.02056791040849673,0.010471896595476884,3.7415400183010967,0.9901931262717215,0.8503733259031985,14.108632721143215,16.428397641389093,13.970271141568306,797,780,22800,0.00385397,1,1,
